"station","line","latitude","longitude","postcode","neighborhood","district","district_id"
"Franz-Neumann-Platz (Am Schäfersee)","U9","52.564722","13.363889","13409","Reinickendorf","Reinickendorf","11012012"
"Französische Straße","U6","52.514722","13.389167","10117","Mitte","Mitte","11001001"
"Französische Straße","U2","52.514722","13.389167","10117","Mitte","Mitte","11001001"
"Freie Universität (Thielplatz)","U3","52.451111","13.282222","14195","Dahlem","Steglitz-Zehlendorf","11006006"
"Friedrich-Wilhelm-Platz","U9","52.471940","13.328610","12161","Friedenau","Tempelhof-Schöneberg","11007007"
"Friedrichsfelde","U5","52.506111","13.512778","10315","Friedrichsfelde","Lichtenberg","11011011"
"Friedrichstraße","U55","52.520000","13.387000","","Mitte","Mitte","11001001"
"Friedrichstraße","U6","52.520000","13.387000","","Mitte","Mitte","11001001"
"Gesundbrunnen","U6","52.548611","13.389444","13357","Gesundbrunnen","Mitte","11001001"
"Gesundbrunnen","U8","52.548611","13.389444","13357","Gesundbrunnen","Mitte","11001001"
"Gesundbrunnen","U2","52.548611","13.389444","13357","Gesundbrunnen","Mitte","11001001"
"Gleisdreieck","U1","52.498333","13.375278","10963","Kreuzberg","Friedrichshain-Kreuzberg","11002002"
"Gleisdreieck","U2","52.498333","13.375278","10963","Kreuzberg","Friedrichshain-Kreuzberg","11002002"
"Gleisdreieck","U7","52.498333","13.375278","10963","Kreuzberg","Friedrichshain-Kreuzberg","11002002"
"Gneisenaustraße","U7","52.491389","13.395556","10961","Kreuzberg","Friedrichshain-Kreuzberg","11002002"
"Gneisenaustraße","U6","52.491389","13.395556","10961","Kreuzberg","Friedrichshain-Kreuzberg","11002002"
"Grenzallee","U7","52.463333","13.443889","12359","Britz","Neukölln","11008008"
"Görlitzer Bahnhof","U1","52.499200","13.428000","10997","Kreuzberg","Friedrichshain-Kreuzberg","11002002"
"Görlitzer Bahnhof","U8","52.499200","13.428000","10997","Kreuzberg","Friedrichshain-Kreuzberg","11002002"
"Güntzelstraße","U3","52.491940","13.330830","10717","Wilmersdorf","Charlottenburg-Wilmersdorf","11004004"
"Güntzelstraße","U9","52.491940","13.330830","10717","Wilmersdorf","Charlottenburg-Wilmersdorf","11004004"
"Halemweg","U7","52.536667","13.286389","13627","Charlottenburg-Nord","Charlottenburg-Wilmersdorf","11004004"
"Hallesches Tor","U6","52.497778","13.391111","10969","Kreuzberg","Friedrichshain-Kreuzberg","11002002"
"Hallesches Tor","U7","52.497778","13.391111","10969","Kreuzberg","Friedrichshain-Kreuzberg","11002002"
"Hallesches Tor","U1","52.497778","13.391111","10969","Kreuzberg","Friedrichshain-Kreuzberg","11002002"
